ProgramCode,Title,SubmissionDateTime,AcceptedFormat,PresentationType,CompetencyFrameworkBestMatch,ConferenceTheme,Abstract_MARKDOWN,ScispaceParaphrasedAbstract,Presenters,Authors,Co-Authors,PublicationLocation,PosterImageLocation,DOI,PresentationDate,PresentationStart,PresentationDuration,PresentationMaterials,VenueCode,SessionTitle,SessionVideoLocation,CollaborativeNotesLocation,License
indico233,Capstone Archiving in Europe: Key Legal Questions,2024-05-14 13:22:53.030469+00:00,Poster,Posters Meetup at Kiosk,Legal and Social Responsibilities for DP,Scaling up,"Emails have become an essential component of the work toolbox of public administrations. Archives, tasked with preserving the files of public authorities, are therefore confronted with the need to preserve also the emails linked to the public tasks of these authorities. The technical challenges surrounding email archiving have been long and extensively deliberated. Since 2013, Capstone archiving has emerged as a means to efficiently retain the vast amounts of emails sent and received by 'key figures' of public institutions and address deficiencies in manual archiving practices. While this approach holds significant promise and is thus being adopted or seriously considered by several archives, among which the Belgian State Archives, the legal intricacies associated with this approach remain inadequately elucidated. Specifically, a deeper examination of the legal ramifications stemming from the adoption of this US-origin methodology within the European context seems necessary.

In our poster, we will assess if and how Capstone can be a viable solution for European archives, compliant with legislation such as the General Data Protection Regulation (GDPR). We look at several possible cases, such as individual versus team mailboxes, and different aspects of digital preservation, including consultation of the emails in the short and long run. As with most data protection questions, the answers are not limited to yes or no but depend on the details of each situation.","Emails are now a crucial part of public administration's work tools, prompting archives to preserve these communications linked to official duties. Since 2013, Capstone archiving has been proposed to manage the substantial volume of emails from key public figures, though its legal implications in Europe, particularly regarding GDPR compliance, require further exploration. Our poster will evaluate the feasibility of adopting Capstone for European archives, considering various scenarios and the intricacies of digital preservation.","Laura Drechsler, Bieke Nouws","Laura Drechsler, Bieke Nouws",,https://zenodo.org/records/13388046,https://drive.google.com/file/d/1c281Y1vJdbmBvAlRE9wbwPCHtExNEB0u/view?usp=drive_link,https://doi.org/10.5281/zenodo.13388046,2024-09-19,09:00,1h 30m,,zetta,,,,Creative Commons Attribution 4.0 (CC-BY-4.0)
indico234,Automated Digital Preservation with Preservica,2024-05-14 13:26:56.035057+00:00,Tool Demo,Interactive formats,Approaches to Preservation,From document to data,"Still processing your ingredients by hand?

Preservica will show how, with a few simple clicks, automation takes the drudgery away, giving great results every time,  so that you can spend more time spicing up your life.",,Peter Anderton,Peter Anderton,,,,,2024-09-18,14:25,9 minutes,,kraakhuis,Great Preservation Bake-Off: Main Courses (End-to-end systems and automations),https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/455bf375e860488394867726471cd880363eb1e08e0c430b93d4a756efde7bc3,https://docs.google.com/document/d/1oGwEZLx1UYUbtMQ5Y_bsh7skzl1XkOIDvzMjo2NBDSI/edit#heading=h.aar4tupij1po,other open license (explain)
indico235,METS-bag-checker: developing my first python tool to validate METS packages,2024-05-14 13:27:57.082802+00:00,Lightning Talk,Lightning talks,Metadata Standards and Implementation,Start 2 preserve,"METS is a metadata standard for packaging all metadata required for the description of a digital object. It provides metadata elements for managing Information Packages fixity, in the same way as BagIt. Unfortunately, no common rules defining how to use it to check the Information Package fixity were adopted.

In an attempt to both learn python and create a - possibly - useful tool, I created a [METS-bag checker][1] that can validate METS packages. The talk will present the tool as a proof-of-concept, the additional conventions and constraints to METS in order to use it as a basic packaging format, and will touch upon developing nice tools with a beginner's knowledge of python.


  [1]: https://framagit.org/BCaron/mets-bag-checker","METS is a metadata standard that organizes all necessary details for describing digital objects, akin to BagIt, but lacks universal guidelines for verifying Information Package fixity. To learn Python and create a practical tool, I developed a METS-bag checker to validate METS packages, which will be showcased as a proof-of-concept along with additional conventions for using METS as a basic packaging format.",Bertrand Caron,Bertrand Caron,,https://zenodo.org/records/13750097,,https://doi.org/10.5281/zenodo.13750097,2024-09-18,11:10,5 minutes,https://zenodo.org/records/13750097,anatomicaltheater,New and Innovative Technologies in Digital Preservation,https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/c4ff0ba130054fff8dfd6d0fb3f33463d66167c2df83459e89304b6b9778c302,https://docs.google.com/document/d/1b42Bd_pn9__lo1qwjKqh3fB46M9Dt_1hjO4ATMggwvg/edit#heading=h.3motvki8sysj,Creative Commons Attribution 4.0 (CC-BY-4.0)
indico236,Many Hands Make Light(er) Work: Collaborative Web Lifecycle Management,2024-05-14 13:55:45.594244+00:00,Poster,Posters Meetup at Kiosk,Approaches to Preservation,From document to data,"This poster will present the development of a collaborative Web Lifecycle Management programme at the University of Edinburgh. The University first embarked on web archiving through collecting community responses to the Covid-19 pandemic. This initiative provided a valuable opportunity to explore closer working with the UK Web Archive (UKWA) and to demonstrate the value of web archiving to the digital preservation of the institutional record. Further collaboration with the UKWA as part of an externally-funded project, Archive of Tomorrow, supported recruitment of a dedicated Web Archivist. This increased visibility and capacity allowed the University Archives to collaborate more meaningfully with the Website and Communications team who support web services for the institution’s many diverse communities. This poster will describe this collaboration and the shared roles and responsibilities for ensuring a sustainable and effective web service for users, from creation to long-term preservation. 

The institutional web estate (both at the main URL and thousands of off-domain URLs) encompasses a vast array of valuable resources – from press releases to research project websites. In the absence of established pathways to the Archives for digital records, web archiving provides a strategy to capture some record of almost every activity and function of the institution, all in the context of their presence on the Web. This Web Lifecycle programme partners closely the UKWA, using their infrastructure and guidance as a core strategy to support the preservation of most content in scope. This partnership allows the Archive to focus on quality assurance, troubleshooting, and metadata creation, improving the existing records in the UKWA and also supporting institutional requirements without maintaining a local system or contracting a third-party vendor.  

This poster will discuss the benefits of this collaborative approach to web archiving to meet institutional digital preservation requirements. It will also address some of the limitations and challenges, such as licencing and aligning information policies across a complex, devolved web estate. Ultimately, this poster will demonstrate how collaboration – internal and external – has catalysed progress in preserving one of the most diverse and inclusive records of activity at a large University – its web estate.","This poster showcases the evolution of a collaborative Web Lifecycle Management program at the University of Edinburgh, initiated through web archiving in response to the Covid-19 pandemic. Collaborating with the UK Web Archive (UKWA) enhanced institutional digital preservation efforts and led to the appointment of a dedicated Web Archivist. This partnership has enabled more effective collaboration between the University Archives and the Website and Communications team, ensuring sustainable web services for diverse community needs. The poster will highlight the advantages of this approach, as well as the challenges faced, ultimately illustrating how collaboration has fostered significant advancements in preserving the university's extensive web resources.","Alice Austin, Sara Day Thomson","Alice Austin, Sara Day Thomson",,https://zenodo.org/records/13682709,https://drive.google.com/file/d/102Vgj5mxklCrv2_vVeh8aMQnMgObySqw/view?usp=drive_link,https://doi.org/10.5281/zenodo.13682709,2024-09-17,13:30,1h 30m,,exa,,,,Creative Commons Attribution 4.0 (CC-BY-4.0)
indico237,Open Science Against Humanity and Open <3 Science Card Games,2024-05-14 14:27:28.784107+00:00,Game,Interactive formats,Communications and Advocacy for DP,From document to data,"Engagement with Open Science and digital preservation can present a challenge because of their (perceived) abstract and theoretical nature. The GHOST (Games of Horror in Open Science Training) Collective uses gamification to lower this barrier and spark interest in these topics with researchers and other practitioners. Because many Open Science concepts are concerned with digital preservation, the following GHOST games are very applicable and inspirational to the iPRES audience. 

[Open Science Against Humanity][1] is based on the Cards Against Humanity gameplay concept. Players hold several cards in their hands that can be matched to the prompts on the table. The funniest or most on-fleek response to each prompt ‘wins’; the winning player gets to keep the prompt. Whoever has won the most rounds at the end, wins the game. The prompts and responses are all related to several Open Science aspects, including the preservation of data and software and the significant effort associated with it - something that all digital preservationalists will recognise. Players are encouraged to make humorous moves but also look up and discuss the meaning of cards or terms they do not know and thus learn about various aspects of Open Science

[Open <3 Science][2] is more content-focused. Players still hold several cards in their hands and get prompts on the table, but they are encouraged to find the best match based on factual and/or practical content. The prompts are about Open Science principles, while the response cards contain Open Science concepts, including a brief explanation and a QR code that leads to bibliographic source material where players can find more in-depth explanations about the concept. Players are encouraged to discuss which response is the best match to the prompt, based on what they learned about the concepts at hand. Also here, there are many concepts that digital preservationalists will know, from licences and digital sovereignty to labour-intensiveness and community.

In the session, players are invited to try both games in several groups. Each game takes approximately 20 minutes to play, depending on the discussions. Players can walk in and out freely.


  [1]: https://github.com/ghostCollective/OpenScienceAgainstHumanity
  [2]: https://nlesc.github.io/open-loves-science/",,"Lena Karvovskaya, Elisa Rodenburg","Lena Karvovskaya, Elisa Rodenburg, Stephanie van de Sandt","Bjørn Bartholdy, Dafne Jansen, Dan Rudmann, Eva Lekkerkerker, Lieke de Boer, Meron Vermaas, Stefan Kirsch, Tycho Hofstra",,,,2024-09-18,12:05,20 minutes,,artiestenfoyer,,,https://docs.google.com/document/d/1EpqhS1yogf1EkXxEsvlrgdWsdiCqR3NlRDoxBH8bUng/edit#heading=h.aar4tupij1po,Creative Commons Attribution 4.0 (CC-BY-4.0)
indico240,Creating a Digital Asset Register:  our approach at University of Glasgow Archives & Special Collections.,2024-05-14 14:58:16.808731+00:00,Lightning Talk,Lightning talks,Communications and Advocacy for DP,Start 2 preserve,"The Digital Archive team at University of Glasgow Archives & Special Collections (ASC) have now completed work on establishing ASC's born-digital asset register and intend to share with the digital preservation community our methods and lessons learned.  

We will share the practical processes that we used to identify and gather information on the born-digital assets in ASC’s collections and some of the questions that we asked ourselves to establish what we needed to record in the register.  This includes how we went about finding digital material in our processed and unprocessed collections, recording and checking locations for the material, as well as logging and checking physical storage media to record its condition.

We intend to detail the work that went into developing the asset register itself using Microsoft Lists and other Office 365 tools and sharing the decision making around settling on these tools and how they fit in with our institution’s information technology support.

The digital asset register has been integrated with our digital archiving logs, another tool developed in-house, allowing us to log digital preservation actions against each asset in the register.  This will be touched upon as well as sharing our methods for the ongoing work to identify and add digitised material to the register.

It is our hope that by sharing our methods we can provide some tips and support others who are developing their own digital asset registers as well as inviting discussion with others sharing their own registers to see where we can improve our own.","The University of Glasgow Archives & Special Collections Digital Archive team has completed their born-digital asset register and aims to share their methods and insights with the digital preservation community. By detailing their processes for identifying digital materials and integrating their asset register with digital archiving logs, they hope to support others in developing similar registers and foster discussions for improvement.",Emma Yan,Emma Yan,Leo Konstantelos,https://zenodo.org/records/13646396,,https://doi.org/10.5281/zenodo.13646396,2024-09-17,11:05,5 minutes,https://zenodo.org/records/13646396,anatomicaltheater,Tools for Collaboration in Digital Preservation,https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/33b18535dd5843ffb8f79c836fadf7895bec43f73c7f4e4682ff38249050ad85,https://docs.google.com/document/d/1q7uNrEVGePdeRV2G9qDrO4AfNgIr2YY_xpKU99e61Yo/edit#heading=h.aar4tupij1po,Creative Commons Attribution Share-Alike 4.0 (CC-BY-SA-4.0)
indico241,Preservation Python,2024-05-14 15:09:10.316458+00:00,Game,Interactive formats,Approaches to Preservation,Start 2 preserve,"Preservation Python is a snake-type game where the player controls a continually shrinking python, a metaphor for obsolescence and data loss. The python must ingest, pun intended, content and preservation information while avoiding elements that accelerate data loss. If the python survives a certain length of time, the required elements will change into preservation actions needed to maintain continued access.

The game is meant to introduce the elements of an OAIS Archival Information Package to beginners in a fun and interactive way, as well as to present digital preservation as a continuous activity. The fast-paced nature of a snake game also encourages the player to make decisions on which elements they prefer to prioritise.

The game is a product of the Bits and Bots study group (https://github.com/Lotte-W/Bits-and-Bots-study-group).",,Jonathan Isip,Jonathan Isip,,,,,2024-09-18,11:45,20 minutes,,artiestenfoyer,,,https://docs.google.com/document/d/1EpqhS1yogf1EkXxEsvlrgdWsdiCqR3NlRDoxBH8bUng/edit#heading=h.aar4tupij1po,Creative Commons Attribution Share-Alike 4.0 (CC-BY-SA-4.0)
indico242,Enabling easier discovery with a controlled vocabulary for iPRES papers,2024-05-14 15:12:38.269794+00:00,Poster,Posters Meetup at Kiosk,Managing Access,Start 2 preserve,"Many iPRES papers often receive relatively few citations, indicating low levels of re-use. Whilst these low levels of usage cannot be attributed to a single reason, inconsistent approaches to sharing, publishing, and describing papers over the past twenty years have not helped. This poster goes some way to explore a solution for more consistent description of papers, facilitating their findability and thus their potential for re-usability, by proposing a controlled vocabulary for iPRES submissions. 

A controlled vocabulary for iPRES papers was used in the early days of iPRES, namely the ACM set of classification codes. This however had limited specificity relevant to most iPRES submissions and was later abandoned. The current 'anything goes' approach enables greater specificity but results in more variation across the corpus as a whole: the problem has escalated from insufficient choice to too much choice. Search the iPRES keywords index produced for the DPC Registries of Good Practice, for example, and it suggests over a thousand different entries. The phrase 'needle in a haystack' comes to mind, especially problematic for not only early careerists and researchers but also practitioners with limited amounts of time but urgent business problems to address.

This poster proposes a controlled set of keywords as a first step towards improving consistent classification, findability and subsequently re-usability of our field's knowledge. The core structure is provided by the high level entities from the CHARM domain model on digital preservation risk. These identify at a consistently granular level the main aspects of the digital preservation domain (e.g. legal; policy; strategy; system software; network; metadata; content) and target values (e.g. authenticity; integrity; retrievability). These are supplemented by a cross referencing and subsequent merging of the top 30 (or so) keywords identified by the Good Practice project, and finally a gap analysis by the authors to identify and propose additional terms for areas that are possibly under-represented. Pending discussion with the community during iPRES and subsequent refinement of terms, the results (along with a user guide to facilitate consistent implementation) will be suggested to the iPRES steering group as a proposal for future events.","Many iPRES papers have low citation rates, suggesting minimal re-use due to inconsistent sharing and publishing practices over the last two decades. This poster proposes a controlled vocabulary for iPRES submissions to enhance the description and findability of papers, addressing the issue of excessive keyword variation. By utilizing high-level entities from the CHARM domain model and incorporating top keywords from the Good Practice project, the proposal aims to create a more consistent classification system. After community discussions and refinements, the suggested vocabulary will be presented to the iPRES steering group for future events.",Maureen Pennock,"Andrew Jackson, Maureen Pennock, Nancy McGovern",,https://zenodo.org/records/13713511,https://drive.google.com/file/d/1ze5ckMVA55q1K0WWe7U_gHXPaGItX62o/view?usp=drive_link,https://doi.org/10.5281/zenodo.13713511,2024-09-17,11:00,1h 30m,,ronna,,,,Creative Commons Attribution Share-Alike 4.0 (CC-BY-SA-4.0)
indico244,Francophonie ! Digital Preservation with a French Touch,2024-05-14 15:21:38.634633+00:00,Birds of a Feather,Interactive formats,Communications and Advocacy for DP,From document to data,"The digital preservation field predominantly relies on English-language resources and documentation, presenting significant challenges for the Francophone community. Factors like staff training and the utilization of accented characters in alphabets exacerbate these difficulties, warranting targeted solutions to enhance Francophone contributions to the global digital preservation discourse.

In the rapidly evolving digital landscape, English has emerged as the lingua franca, shaping the discourse and dissemination of knowledge. Consequently, most technical discussions, guides, and scholarly articles pertinent to digital preservation are predominantly available in English. This linguistic hegemony poses barriers for Francophones seeking active engagement in digital preservation efforts. Language barriers not only impede comprehension and participation but also limit access to cutting-edge knowledge and practices within the field.

Addressing these challenges is imperative to ensure equitable representation and active involvement of the Francophone community in digital preservation endeavors. Efforts must be directed towards enhancing staff training by providing resources and professional development programs in the native language of Francophones. Additionally, unique challenges associated with utilizing alphabets containing accented characters must be acknowledged and resolved to facilitate effective data management and preservation in Francophone contexts.

The ""birds of a feather"" session presents a singular opportunity to convene the Francophone digital preservation community for face-to-face discussions. This gathering will enable participants to share experiences, address challenges, and exchange best practices in an environment conducive to collaboration and idea-sharing. By bringing together Francophone experts and practitioners in digital preservation, this session aims to strengthen community bonds and identify innovative solutions to overcome linguistic and technical barriers. Through collaborative efforts, we can ensure that the Francophone voice is fully heard and its contributions enrich the global digital preservation landscape during iPRES 2024.",,"Célia CABANE, YANNICK GRANDCOLAS",YANNICK GRANDCOLAS,Célia CABANE,,,,2024-09-17,14:00,45 minutes,,kabinet,,,https://docs.google.com/document/d/13TMF9JJFlRrsVmWaejYk5cWKOrdsEg9Ti9PwZTwMXzA/edit#heading=h.aar4tupij1po,Creative Commons Attribution 4.0 (CC-BY-4.0)
indico245,Start 2 Collaborate: Letterenhuis and University of Antwerp Joining Forces in Tackling Challenges Related to Born-Digital Archives,2024-05-14 15:38:40.474711+00:00,Lightning Talk,Lightning talks,Managing Access,Start 2 preserve,"The nature of paper archives has never required close collaboration between archives and researchers – researchers could easily access records within archival boundaries and in a purely transactional frame. Born-digital archives, however, provide strong arguments for both parties to engage actively and even require creators to be more involved. The case for partnerships between archivists, researchers and literary authors in dealing with born-digital archives has been made many times, but only continues to grow in importance as more born-digital archives are making their way into literary archival institutions (Pulkkinen 2023; Jaillant 2022; Ries & Palkó 2019; Gooding, Smith & Mann, 2019). 
The scale and complexity of born-digital archives enforces strong partnerships between creators, archives and research in order to guarantee a real future for born-digital (literary) heritage. Genuine collaboration between scholars and archivists creates many pathways for developing and enhancing archival workflows for acquiring, describing and unlocking born-digital archives for research. Researchers get better acquainted with limitations and possibilities of born-digital archives, enabling them to articulate solid research questions. Collaboration with creators is no less important, as they play a crucial role in the preservation of their digital documents (Micunovic, Marčetić, and Krtalić 2016).
In this Lightning Talk we share our experience of the collaboration between the Letterenhuis (Isabelle Van Ongeval) and the University of Antwerp (Lamyk Bekius) in the scope of born-digital archives. Our regular meetings to discuss approaches and research interests regarding born-digital archives have already led to concrete results. These include: joining forces in persuading Flemish authors to donate their old computers to the Letterenhuis and make them available for research projects; working together on a project with the Flemish poet Maud Vanhauwaert to log the writing process of a poem for the Letterenhuis’ new collection exhibition; an exploration of the filecontents on the floppy disks of the Flemish poet and essayist Herman de Coninck to make them more findable and more accessible for research; and partnering up for the (proposed) CLARIAH-VL+ International Research Infrastructure, in which we plan to develop a model for the description of born-digital and hybrid (literary) archives.","The shift to born-digital archives necessitates active collaboration between archivists, researchers, and creators to effectively manage and preserve literary heritage. Partnerships enhance archival workflows and help researchers navigate the complexities of these digital records, resulting in more targeted research questions. Our collaboration between the Letterenhuis and the University of Antwerp has yielded practical outcomes, including efforts to secure old computers from authors for research and initiatives to enhance the accessibility of digital content from notable Flemish writers.","Lamyk Bekius, isabelle van ongeval","Lamyk Bekius, isabelle van ongeval",,https://zenodo.org/records/13745238,,https://doi.org/10.5281/zenodo.13745238,2024-09-17,11:10,5 minutes,https://zenodo.org/records/13759303,anatomicaltheater,Tools for Collaboration in Digital Preservation,,https://docs.google.com/document/d/1q7uNrEVGePdeRV2G9qDrO4AfNgIr2YY_xpKU99e61Yo/edit#heading=h.aar4tupij1po,Creative Commons Attribution 4.0 (CC-BY-4.0)
indico246,A Portrait of the Digital Preservation Labor Market in 2021-2022,2024-05-14 15:38:46.198340+00:00,Poster,Remote presenters track,"Governance, Resourcing, and Management for DP",Start 2 preserve,"The Digital Preservation Coalition (DPC) is undertaking an analysis of digital preservation labor market data gathered from online job postings published between January 2021 to December 2022. This poster is intended to present the key findings from this analysis and introduce emerging themes or trends relating to different digital preservation role types. This will include job titles, salaries, contract durations, and consideration of how the descriptions of skill and knowledge requirements relate to the DPC's Digital Preservation Competency Framework. It will also introduce a final report and open dataset to invite further discussion and practical use by digital preservation practitioners.","The Digital Preservation Coalition (DPC) is analyzing digital preservation job market data from online postings between January 2021 and December 2022 to highlight key findings and emerging trends in various role types. The presentation will include insights on job titles, salaries, and skill requirements aligned with the DPC's Digital Preservation Competency Framework, along with a final report and open dataset for practitioners' use.",Amy Currie,Amy Currie,,https://zenodo.org/records/13679853,https://drive.google.com/file/d/11fxUl5pyJekyEhha2XLGHWIq3ZDP1mbA/view?usp=drive_link,https://doi.org/10.5281/zenodo.13679853,2024-09-18,15:05,5 minutes,,suite,Start 2 Preserve (part 2),https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/b208d828f7d0472f91d594fd9a1e7e1068f37cdd5e09419d8e7f69a4eb27e3fb,https://docs.google.com/document/d/16S5qwg42Mjnxe22cdVxZH63tVCVMgs-m92o02THSgC4/edit#heading=h.aar4tupij1po,Creative Commons Attribution Share-Alike 4.0 (CC-BY-SA-4.0)
indico248,File Format Frenzy,2024-05-14 17:11:14.501463+00:00,Game,Interactive formats,Approaches to Preservation,Start 2 preserve,"This is an interactive, choose your own adventure game designed to teach players file format analysis and how to identify various file formats. It is built using the twine platform with various side games and quests built in.

The premise of the game is that you shrink into a computer that has been infected by a virus. You quickly realise that the files on the computer do not know what they are anymore and by solving a series of puzzles you must help them piece together their identity. This is created with the goal of helping the player understand concepts such as magic bytes, how to look inside a file, hex and many of the tools of file format analysis.

The hope is that this will be a valuable and fun learning tool to understand files in repositories and how file format identification software such as PRONOM and DROID work. These are topics that can often seem intimidating and inaccessible but with gamification they may reach a wider audience.

For the session laptops will be recommended for participants to reach the website the game is hosted on, however shorter games and paper versions of the side quests will be available. Participants could also work in teams around one laptop. Therefore the game could be played solo or in groups.",,Francesca Mackenzie,Francesca Mackenzie,,,,,2024-09-18,11:25,20 minutes,,artiestenfoyer,,,https://docs.google.com/document/d/1EpqhS1yogf1EkXxEsvlrgdWsdiCqR3NlRDoxBH8bUng/edit#heading=h.aar4tupij1po,Creative Commons Zero (CC0-1.0)
indico249,Wouldn’t It Be Nice… Planning for the Third Edition of the Digital Preservation Handbook,2024-05-14 17:12:42.905847+00:00,Lightning Talk,Lightning talks,Communications and Advocacy for DP,Start 2 preserve,"In the first quarter of 2024, the Digital Preservation Coalition undertook a scoping study to capture requirements from the digital preservation community for a forthcoming Third Edition of their cornerstone publication, The Digital Preservation Handbook. The study included a community survey, which received 150 responses, and a series of focus groups that included junior and senior practitioners, educators, managers, researchers, technologists, and policy makers. 

The outcomes of this information gathering phase were used to define a set of guiding principles for the development of the Third Edition, and to help establish a proposal for the structure and content. These, in turn, have been included in a plan for creation of the Third Edition, which will be a significant, multi-year project.

The project is due to commence in August 2024, and during this lightning talk we will summarize the outcomes of the scoping study, share the guiding principles, and provide an update on plans and activities to date. We will also share how the community can engage with the development of this much loved and used resource.","In early 2024, the Digital Preservation Coalition conducted a study to gather input from the digital preservation community for the upcoming Third Edition of The Digital Preservation Handbook, which included a survey with 150 responses and focus groups of various stakeholders. The findings will inform guiding principles and the structure of this significant multi-year project set to begin in August 2024, with updates and community engagement opportunities to be shared during an upcoming lightning talk.",Sharon McMeekin,Sharon McMeekin,Amy Currie,https://zenodo.org/records/13644530,,https://doi.org/10.5281/zenodo.13644530,2024-09-18,13:35,5 minutes,https://zenodo.org/records/13644530,concerthall,Kickstarting a Digital Preservation Program,https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/3ec04ee9969c4ac48501aa9100cd6f752a2085cce7cc414588e4c6fc22f07e98,https://docs.google.com/document/d/1MToYP8iGZoTWR3l_d6IHQm8iNRXr1ozm5lJNA9ercLM/edit#heading=h.aar4tupij1po,Creative Commons Attribution Share-Alike 4.0 (CC-BY-SA-4.0)
indico250,Digital Preservation for 5 Year Olds (and other learning games),2024-05-14 17:22:42.897672+00:00,Game,Interactive formats,Communications and Advocacy for DP,Start 2 preserve,"Digital Preservation for 5 Year Olds is a set of dfinition cards with a difference. We have asked Chat GPT-4 to explain the concepts as if to a 5 year old. This means that it is an excellent tool for both learning new concepts and for more experienced practitioners to consider advocacy and how concepts can be easily understood.

The game currently has three different variants dependent on competitive or collaborative game play and the number of people involved. The game dynamic can start with a basic matching game but can be changed to be more competitive or a 'who am I?' style of game. We are planning for the conference to expand the number of variants with a prioritisation dynamic, for example what would different practitioners value or prioritize most out of the different definitions. The hope is to encourage conversations about these concepts in practice amongst the players.

The game has been tested and well received in local games events as well as at the ICA Congress 2023.

While the game is already created, as the title suggests, we are currently working on related expansion packs. These are archival theory, storage media and policies.

We are hoping to use the session to not only play the card games, but also explore what else the cards could do. If willing we will even encourage participants to make up their own rules.",,"Francesca Mackenzie, Jonathan Isip","Francesca Mackenzie, Jonathan Isip",,,,,2024-09-18,14:15,20 minutes,,artiestenfoyer,,,https://docs.google.com/document/d/1TECjLA7x-Wy1GeVBzuw5jjqsObbotGkgJbFvOfm-kpo/edit#heading=h.aar4tupij1po,Creative Commons Zero (CC0-1.0)
indico251,A three-tier digital preservation strategy,2024-05-14 17:30:51.986784+00:00,Poster,Posters Meetup at Kiosk,Approaches to Preservation,Start 2 preserve,"As university libraries, one of our key missions is to preserve scholarly digital content for future generations.
This implies safeguarding our own digital collections, of which we are the sole custodian, as these often include unique materials created by our scientific community. Examples include Ph.D. theses, offprints, and research data.
We must also ensure enduring access to subscribed scholarly content even if the subscription is canceled or if publishers discontinue publications. 
To meet these challenges, we encourage libraries to adopt a global strategy based on three solutions leveraging the LOCKSS open-source technology. 
Our poster depicts the implementation of this 3-pillar strategy at Université libre de Bruxelles (ULB) :

**1. Community network**
While a university library alone is unlikely to have the required human and technological resources to build an efficient distributed preservation solution, LOCKSS technology makes it easy for libraries to build their own community network to safeguard their collections of interest. 
Following this approach, ULB - together with 6 university partners worldwide - has funded the SAFEPLN network in 2014. 
Content is collected from our institutional repositories and replicated in seven preservation nodes, distributed across servers hosted in Europe and Canada.
Currently, a dozen similar networks have been created worldwide, with various objectives, scopes and organizational models.

**2. Global LOCKSS Network**
As a solution for post-cancellation access to our electronic resources, ULB joined the Global LOCKSS Network in 2012.
If we terminate a subscription to one of our resources or the resource becomes temporarily unavailable from the publisher, a copy remains available in our local server and we can restore access to our users.

**3. CLOCKSS**
Unfortunately, not all our key electronic resources are available on the Global LOCKSS network. Therefore, ULB also chose to support the CLOCKSS service from 2024. 
CLOCKSS is a dark archive encompassing over 54 million journal articles, and 475.000 e-books from the world's leading publishers, ensuring open access if content disappears from the web.

The three-pillar approach outlined here empowers libraries to take charge of their digital preservation. Instead of relying on third-party solutions, we become active players in preservation, embracing our essential mission.","As university libraries, we aim to safeguard scholarly digital content for future generations, ensuring the preservation of unique materials created by our academic community. This includes Ph.D. theses, research data, and offprints, while also providing access to subscribed content even after cancellations or publisher discontinuations. To tackle these issues, we propose a global strategy utilizing the LOCKSS open-source technology through a three-pillar approach. At Université libre de Bruxelles (ULB), we have implemented a community network through the SAFEPLN network, joined the Global LOCKSS Network for post-cancellation access, and supported the CLOCKSS service to protect additional resources. This strategy empowers libraries to actively engage in digital preservation, reinforcing our critical mission.","Snowden Becker, Alicia Wise, Anthony Leroy","Snowden Becker, Alicia Wise, Anthony Leroy",,https://zenodo.org/records/13652938,https://drive.google.com/file/d/1ba6l0lV5PQ3wo5k6k5dWb6Pq1Xei0nTa/view?usp=drive_link,https://doi.org/10.5281/zenodo.13652938,2024-09-19,09:00,1h 30m,,yotta,,,,Creative Commons Attribution 4.0 (CC-BY-4.0)
